epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,140.585,0.71789,0.9666,1.21915,0.56883,0.48333,0.51851,0.3135,1.61429,2.12466,1.35349,2.29819e-05,2.29819e-05,2.29819e-05
77,142.258,0.67392,0.70773,1.12017,0.56883,0.48333,0.51851,0.3135,1.61429,2.12466,1.35349,2.23929e-05,2.23929e-05,2.23929e-05
78,144.166,0.90444,1.2203,1.19796,0.75066,0.48333,0.51115,0.3053,1.63349,2.14727,1.35798,2.17805e-05,2.17805e-05,2.17805e-05
79,146.158,0.59837,0.69954,1.05602,0.75066,0.48333,0.51115,0.3053,1.63349,2.14727,1.35798,2.11444e-05,2.11444e-05,2.11444e-05
80,147.996,0.6307,0.85538,1.15494,0.75066,0.48333,0.51115,0.3053,1.63349,2.14727,1.35798,2.04848e-05,2.04848e-05,2.04848e-05
81,150.058,0.51781,0.57576,0.98005,0.72587,0.48333,0.5104,0.28858,1.60819,2.14084,1.34588,1.98016e-05,1.98016e-05,1.98016e-05
82,151.998,0.85738,0.69567,1.19061,0.72587,0.48333,0.5104,0.28858,1.60819,2.14084,1.34588,1.90949e-05,1.90949e-05,1.90949e-05
83,153.958,0.76221,0.93381,1.19565,0.72587,0.48333,0.5104,0.28858,1.60819,2.14084,1.34588,1.83646e-05,1.83646e-05,1.83646e-05
84,156.955,0.71361,0.67905,1.14613,0.72069,0.48333,0.5048,0.30349,1.68088,2.15872,1.38667,1.76107e-05,1.76107e-05,1.76107e-05
85,161.947,0.65955,0.78121,1.13869,0.72069,0.48333,0.5048,0.30349,1.68088,2.15872,1.38667,1.68333e-05,1.68333e-05,1.68333e-05
86,166.37,0.83489,0.73415,1.14104,0.72069,0.48333,0.5048,0.30349,1.68088,2.15872,1.38667,1.60323e-05,1.60323e-05,1.60323e-05
87,168.084,0.77129,0.76873,1.06207,0.72069,0.48333,0.5048,0.30349,1.68088,2.15872,1.38667,1.52077e-05,1.52077e-05,1.52077e-05
88,170.006,0.96184,1.02692,1.46034,0.55059,0.48333,0.51533,0.29638,1.66705,2.14984,1.3808,1.43596e-05,1.43596e-05,1.43596e-05
89,171.802,1.24195,1.03131,1.68312,0.55059,0.48333,0.51533,0.29638,1.66705,2.14984,1.3808,1.34879e-05,1.34879e-05,1.34879e-05
90,173.585,0.7057,0.71281,1.04885,0.55059,0.48333,0.51533,0.29638,1.66705,2.14984,1.3808,1.25927e-05,1.25927e-05,1.25927e-05
91,175.416,0.54105,0.56544,0.95228,0.55059,0.48333,0.51533,0.29638,1.66705,2.14984,1.3808,1.16739e-05,1.16739e-05,1.16739e-05
92,177.25,0.80772,0.62078,0.99137,0.559,0.48333,0.53256,0.32963,1.59928,2.01767,1.35004,1.07315e-05,1.07315e-05,1.07315e-05
93,179.058,0.55909,0.50584,1.04626,0.559,0.48333,0.53256,0.32963,1.59928,2.01767,1.35004,9.76562e-06,9.76562e-06,9.76562e-06
94,180.795,0.55452,0.5785,0.89761,0.559,0.48333,0.53256,0.32963,1.59928,2.01767,1.35004,8.77613e-06,8.77613e-06,8.77613e-06
95,182.52,0.48513,0.50545,0.93014,0.559,0.48333,0.53256,0.32963,1.59928,2.01767,1.35004,7.76308e-06,7.76308e-06,7.76308e-06
96,184.472,0.53591,0.56947,1.02528,0.57151,0.48333,0.57247,0.37616,1.65718,1.98661,1.38379,6.72648e-06,6.72648e-06,6.72648e-06
97,186.208,0.62198,0.62876,0.99147,0.57151,0.48333,0.57247,0.37616,1.65718,1.98661,1.38379,5.6663e-06,5.6663e-06,5.6663e-06
98,187.968,0.54838,0.56607,0.94181,0.57151,0.48333,0.57247,0.37616,1.65718,1.98661,1.38379,4.58257e-06,4.58257e-06,4.58257e-06
99,189.713,0.47069,0.52007,0.9311,0.57151,0.48333,0.57247,0.37616,1.65718,1.98661,1.38379,3.47528e-06,3.47528e-06,3.47528e-06
100,191.589,0.57973,0.64809,1.03279,0.81501,0.46517,0.64179,0.42948,1.62832,1.83512,1.36389,2.34442e-06,2.34442e-06,2.34442e-06
